YEAR,MONTH,DAY,MINUTE,DateTime,USGS_STAGE,CFS
2014,12,7,390,12/7/2014 6:30,,6.33
2014,12,7,405,12/7/2014 6:45,,6.19
2014,12,7,420,12/7/2014 7:00,,6.19
2014,12,7,435,12/7/2014 7:15,,6.06
2014,12,7,450,12/7/2014 7:30,,5.93
2014,12,7,465,12/7/2014 7:45,,5.93
2014,12,7,480,12/7/2014 8:00,,5.67
2014,12,7,495,12/7/2014 8:15,,5.54
2014,12,7,510,12/7/2014 8:30,,5.54
2014,12,7,525,12/7/2014 8:45,,5.42
2014,12,7,540,12/7/2014 9:00,,5.42
2014,12,7,555,12/7/2014 9:15,,5.3
2014,12,7,570,12/7/2014 9:30,,5.3
2014,12,7,585,12/7/2014 9:45,,5.3
2014,12,7,600,12/7/2014 10:00,,5.3
2014,12,7,605,12/7/2014 10:05,,5.3
2014,12,7,615,12/7/2014 10:15,,5.42
2014,12,7,630,12/7/2014 10:30,,5.42
2014,12,7,645,12/7/2014 10:45,,5.42
2014,12,7,660,12/7/2014 11:00,,5.67
2014,12,7,675,12/7/2014 11:15,,5.67
2014,12,7,690,12/7/2014 11:30,,5.67
2014,12,7,705,12/7/2014 11:45,,5.79
2014,12,7,720,12/7/2014 12:00,,5.93
2014,12,7,735,12/7/2014 12:15,,6.06
2014,12,7,750,12/7/2014 12:30,,6.06
2014,12,7,765,12/7/2014 12:45,,6.19
2014,12,7,780,12/7/2014 13:00,,6.33
2014,12,7,795,12/7/2014 13:15,,6.33
2014,12,7,810,12/7/2014 13:30,,6.33
2014,12,7,825,12/7/2014 13:45,,6.47
2014,12,7,840,12/7/2014 14:00,,6.47
2014,12,7,855,12/7/2014 14:15,,6.47
2014,12,7,870,12/7/2014 14:30,,6.47
2014,12,7,885,12/7/2014 14:45,,6.62
2014,12,7,900,12/7/2014 15:00,,6.76
2014,12,7,915,12/7/2014 15:15,,6.76
2014,12,7,930,12/7/2014 15:30,,6.62
2014,12,7,945,12/7/2014 15:45,,6.62
2014,12,7,960,12/7/2014 16:00,,6.33
2014,12,7,975,12/7/2014 16:15,,6.33
2014,12,7,990,12/7/2014 16:30,,6.33
2014,12,7,1005,12/7/2014 16:45,,6.33
2014,12,7,1020,12/7/2014 17:00,,6.47
2014,12,7,1035,12/7/2014 17:15,,6.33
2014,12,7,1050,12/7/2014 17:30,,6.19
2014,12,7,1065,12/7/2014 17:45,,6.19
2014,12,7,1080,12/7/2014 18:00,,6.06
2014,12,7,1090,12/7/2014 18:10,,6.06
2014,12,7,1095,12/7/2014 18:15,,5.93
2014,12,7,1110,12/7/2014 18:30,,5.93
2014,12,7,1125,12/7/2014 18:45,,5.79
2014,12,7,1140,12/7/2014 19:00,,5.67
2014,12,7,1155,12/7/2014 19:15,,5.54
2014,12,7,1170,12/7/2014 19:30,,5.42
2014,12,7,1185,12/7/2014 19:45,,5.42
2014,12,7,1200,12/7/2014 20:00,,5.3
2014,12,7,1215,12/7/2014 20:15,,5.18
2014,12,7,1230,12/7/2014 20:30,,5.06
2014,12,7,1245,12/7/2014 20:45,,4.94
2014,12,7,1260,12/7/2014 21:00,,4.94
2014,12,7,1275,12/7/2014 21:15,,4.83
2014,12,7,1290,12/7/2014 21:30,,4.72
2014,12,7,1305,12/7/2014 21:45,,4.72
2014,12,7,1320,12/7/2014 22:00,,4.61
2014,12,7,1335,12/7/2014 22:15,,4.61
2014,12,7,1350,12/7/2014 22:30,,4.61
2014,12,7,1365,12/7/2014 22:45,,4.61
2014,12,7,1380,12/7/2014 23:00,,4.61
2014,12,7,1395,12/7/2014 23:15,,4.61
2014,12,7,1410,12/7/2014 23:30,,4.61
2014,12,7,1425,12/7/2014 23:45,,4.61
